TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,3.140,6.177,Primero - ESO,913,1.753
Mujeres,3.037,6.177,Primero - ESO,840,1.753
Hombres,3.140,6.177,Segundo - ESO,841,1.636
Mujeres,3.037,6.177,Segundo - ESO,795,1.636
Hombres,3.140,6.177,Tercero - ESO,738,1.467
Mujeres,3.037,6.177,Tercero - ESO,729,1.467
Hombres,3.140,6.177,Cuarto - ESO,648,1.321
Mujeres,3.037,6.177,Cuarto - ESO,673,1.321

