TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,1.585,3.060,Primero - ESO,413,821
Mujeres,1.475,3.060,Primero - ESO,408,821
Hombres,1.585,3.060,Segundo - ESO,401,775
Mujeres,1.475,3.060,Segundo - ESO,374,775
Hombres,1.585,3.060,Tercero - ESO,393,750
Mujeres,1.475,3.060,Tercero - ESO,357,750
Hombres,1.585,3.060,Cuarto - ESO,378,714
Mujeres,1.475,3.060,Cuarto - ESO,336,714

