TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,4.223,8.410,Primero - ESO,1.073,2.111
Mujeres,4.187,8.410,Primero - ESO,1.038,2.111
Hombres,4.223,8.410,Segundo - ESO,1.023,2.116
Mujeres,4.187,8.410,Segundo - ESO,1.093,2.116
Hombres,4.223,8.410,Tercero - ESO,1.075,2.157
Mujeres,4.187,8.410,Tercero - ESO,1.082,2.157
Hombres,4.223,8.410,Cuarto - ESO,1.052,2.026
Mujeres,4.187,8.410,Cuarto - ESO,974,2.026

