TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,3.231,6.354,Primero - Primaria,561,1.041
Mujeres,3.123,6.354,Primero - Primaria,480,1.041
Hombres,3.231,6.354,Segundo - Primaria,526,1.027
Mujeres,3.123,6.354,Segundo - Primaria,501,1.027
Hombres,3.231,6.354,Tercero - Primaria,544,1.088
Mujeres,3.123,6.354,Tercero - Primaria,544,1.088
Hombres,3.231,6.354,Cuarto - Primaria,527,1.070
Mujeres,3.123,6.354,Cuarto - Primaria,543,1.070
Hombres,3.231,6.354,Quinto - Primaria,530,1.060
Mujeres,3.123,6.354,Quinto - Primaria,530,1.060
Hombres,3.231,6.354,Sexto - Primaria,543,1.068
Mujeres,3.123,6.354,Sexto - Primaria,525,1.068

