TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,6.107,11.926,Primero - Primaria,956,1.884
Mujeres,5.819,11.926,Primero - Primaria,928,1.884
Hombres,6.107,11.926,Segundo - Primaria,987,1.897
Mujeres,5.819,11.926,Segundo - Primaria,910,1.897
Hombres,6.107,11.926,Tercero - Primaria,962,1.921
Mujeres,5.819,11.926,Tercero - Primaria,959,1.921
Hombres,6.107,11.926,Cuarto - Primaria,1.013,2.043
Mujeres,5.819,11.926,Cuarto - Primaria,1.030,2.043
Hombres,6.107,11.926,Quinto - Primaria,1.075,2.036
Mujeres,5.819,11.926,Quinto - Primaria,961,2.036
Hombres,6.107,11.926,Sexto - Primaria,1.114,2.145
Mujeres,5.819,11.926,Sexto - Primaria,1.031,2.145

