TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,4.208,8.253,Primero - Primaria,698,1.303
Mujeres,4.045,8.253,Primero - Primaria,605,1.303
Hombres,4.208,8.253,Segundo - Primaria,678,1.302
Mujeres,4.045,8.253,Segundo - Primaria,624,1.302
Hombres,4.208,8.253,Tercero - Primaria,684,1.365
Mujeres,4.045,8.253,Tercero - Primaria,681,1.365
Hombres,4.208,8.253,Cuarto - Primaria,690,1.384
Mujeres,4.045,8.253,Cuarto - Primaria,694,1.384
Hombres,4.208,8.253,Quinto - Primaria,709,1.390
Mujeres,4.045,8.253,Quinto - Primaria,681,1.390
Hombres,4.208,8.253,Sexto - Primaria,749,1.509
Mujeres,4.045,8.253,Sexto - Primaria,760,1.509

