TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,1.827,3.665,Primero - Primaria,282,597
Mujeres,1.838,3.665,Primero - Primaria,315,597
Hombres,1.827,3.665,Segundo - Primaria,314,593
Mujeres,1.838,3.665,Segundo - Primaria,279,593
Hombres,1.827,3.665,Tercero - Primaria,288,600
Mujeres,1.838,3.665,Tercero - Primaria,312,600
Hombres,1.827,3.665,Cuarto - Primaria,316,618
Mujeres,1.838,3.665,Cuarto - Primaria,302,618
Hombres,1.827,3.665,Quinto - Primaria,319,625
Mujeres,1.838,3.665,Quinto - Primaria,306,625
Hombres,1.827,3.665,Sexto - Primaria,308,632
Mujeres,1.838,3.665,Sexto - Primaria,324,632

