TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,2.242,4.687,Primero - Primaria,369,760
Mujeres,2.445,4.687,Primero - Primaria,391,760
Hombres,2.242,4.687,Segundo - Primaria,319,745
Mujeres,2.445,4.687,Segundo - Primaria,426,745
Hombres,2.242,4.687,Tercero - Primaria,364,745
Mujeres,2.445,4.687,Tercero - Primaria,381,745
Hombres,2.242,4.687,Cuarto - Primaria,385,820
Mujeres,2.445,4.687,Cuarto - Primaria,435,820
Hombres,2.242,4.687,Quinto - Primaria,383,771
Mujeres,2.445,4.687,Quinto - Primaria,388,771
Hombres,2.242,4.687,Sexto - Primaria,422,846
Mujeres,2.445,4.687,Sexto - Primaria,424,846

