TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,4.039,7.933,Primero - Primaria,695,1.403
Mujeres,3.894,7.933,Primero - Primaria,708,1.403
Hombres,4.039,7.933,Segundo - Primaria,740,1.425
Mujeres,3.894,7.933,Segundo - Primaria,685,1.425
Hombres,4.039,7.933,Tercero - Primaria,659,1.291
Mujeres,3.894,7.933,Tercero - Primaria,632,1.291
Hombres,4.039,7.933,Cuarto - Primaria,674,1.303
Mujeres,3.894,7.933,Cuarto - Primaria,629,1.303
Hombres,4.039,7.933,Quinto - Primaria,619,1.228
Mujeres,3.894,7.933,Quinto - Primaria,609,1.228
Hombres,4.039,7.933,Sexto - Primaria,652,1.283
Mujeres,3.894,7.933,Sexto - Primaria,631,1.283

