TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,2.911,5.840,Primero - Primaria,498,1.061
Mujeres,2.929,5.840,Primero - Primaria,563,1.061
Hombres,2.911,5.840,Segundo - Primaria,500,1.020
Mujeres,2.929,5.840,Segundo - Primaria,520,1.020
Hombres,2.911,5.840,Tercero - Primaria,483,971
Mujeres,2.929,5.840,Tercero - Primaria,488,971
Hombres,2.911,5.840,Cuarto - Primaria,479,940
Mujeres,2.929,5.840,Cuarto - Primaria,461,940
Hombres,2.911,5.840,Quinto - Primaria,465,883
Mujeres,2.929,5.840,Quinto - Primaria,418,883
Hombres,2.911,5.840,Sexto - Primaria,486,965
Mujeres,2.929,5.840,Sexto - Primaria,479,965

