TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,5.449,10.823,Primero - Primaria,926,1.805
Mujeres,5.374,10.823,Primero - Primaria,879,1.805
Hombres,5.449,10.823,Segundo - Primaria,883,1.753
Mujeres,5.374,10.823,Segundo - Primaria,870,1.753
Hombres,5.449,10.823,Tercero - Primaria,833,1.700
Mujeres,5.374,10.823,Tercero - Primaria,867,1.700
Hombres,5.449,10.823,Cuarto - Primaria,951,1.865
Mujeres,5.374,10.823,Cuarto - Primaria,914,1.865
Hombres,5.449,10.823,Quinto - Primaria,886,1.788
Mujeres,5.374,10.823,Quinto - Primaria,902,1.788
Hombres,5.449,10.823,Sexto - Primaria,970,1.912
Mujeres,5.374,10.823,Sexto - Primaria,942,1.912

