TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,6.940,13.632,Primero - Primaria,1.132,2.268
Mujeres,6.692,13.632,Primero - Primaria,1.136,2.268
Hombres,6.940,13.632,Segundo - Primaria,1.121,2.180
Mujeres,6.692,13.632,Segundo - Primaria,1.059,2.180
Hombres,6.940,13.632,Tercero - Primaria,1.227,2.315
Mujeres,6.692,13.632,Tercero - Primaria,1.088,2.315
Hombres,6.940,13.632,Cuarto - Primaria,1.100,2.236
Mujeres,6.692,13.632,Cuarto - Primaria,1.136,2.236
Hombres,6.940,13.632,Quinto - Primaria,1.196,2.337
Mujeres,6.692,13.632,Quinto - Primaria,1.141,2.337
Hombres,6.940,13.632,Sexto - Primaria,1.164,2.296
Mujeres,6.692,13.632,Sexto - Primaria,1.132,2.296

