TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,1.493,2.887,Primero - ESO,471,874
Mujeres,1.394,2.887,Primero - ESO,403,874
Hombres,1.493,2.887,Segundo - ESO,383,756
Mujeres,1.394,2.887,Segundo - ESO,373,756
Hombres,1.493,2.887,Tercero - ESO,343,686
Mujeres,1.394,2.887,Tercero - ESO,343,686
Hombres,1.493,2.887,Cuarto - ESO,296,571
Mujeres,1.394,2.887,Cuarto - ESO,275,571

