TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,4.374,8.467,Primero - ESO,1.195,2.233
Mujeres,4.093,8.467,Primero - ESO,1.038,2.233
Hombres,4.374,8.467,Segundo - ESO,1.207,2.255
Mujeres,4.093,8.467,Segundo - ESO,1.048,2.255
Hombres,4.374,8.467,Tercero - ESO,1.006,2.017
Mujeres,4.093,8.467,Tercero - ESO,1.011,2.017
Hombres,4.374,8.467,Cuarto - ESO,966,1.962
Mujeres,4.093,8.467,Cuarto - ESO,996,1.962

