TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,1.663,3.403,Primero - ESO,465,916
Mujeres,1.740,3.403,Primero - ESO,451,916
Hombres,1.663,3.403,Segundo - ESO,457,873
Mujeres,1.740,3.403,Segundo - ESO,416,873
Hombres,1.663,3.403,Tercero - ESO,373,818
Mujeres,1.740,3.403,Tercero - ESO,445,818
Hombres,1.663,3.403,Cuarto - ESO,368,796
Mujeres,1.740,3.403,Cuarto - ESO,428,796

