TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,4.465,8.547,Primero - ESO,1.270,2.427
Mujeres,4.082,8.547,Primero - ESO,1.157,2.427
Hombres,4.465,8.547,Segundo - ESO,1.185,2.268
Mujeres,4.082,8.547,Segundo - ESO,1.083,2.268
Hombres,4.465,8.547,Tercero - ESO,1.045,1.985
Mujeres,4.082,8.547,Tercero - ESO,940,1.985
Hombres,4.465,8.547,Cuarto - ESO,965,1.867
Mujeres,4.082,8.547,Cuarto - ESO,902,1.867

