TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,2.204,4.395,Primero - ESO,572,1.134
Mujeres,2.191,4.395,Primero - ESO,562,1.134
Hombres,2.204,4.395,Segundo - ESO,517,1.060
Mujeres,2.191,4.395,Segundo - ESO,543,1.060
Hombres,2.204,4.395,Tercero - ESO,575,1.121
Mujeres,2.191,4.395,Tercero - ESO,546,1.121
Hombres,2.204,4.395,Cuarto - ESO,540,1.080
Mujeres,2.191,4.395,Cuarto - ESO,540,1.080

