TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,2.901,5.584,Primero - Primaria,483,950
Mujeres,2.683,5.584,Primero - Primaria,467,950
Hombres,2.901,5.584,Segundo - Primaria,506,937
Mujeres,2.683,5.584,Segundo - Primaria,431,937
Hombres,2.901,5.584,Tercero - Primaria,479,923
Mujeres,2.683,5.584,Tercero - Primaria,444,923
Hombres,2.901,5.584,Cuarto - Primaria,463,890
Mujeres,2.683,5.584,Cuarto - Primaria,427,890
Hombres,2.901,5.584,Quinto - Primaria,492,936
Mujeres,2.683,5.584,Quinto - Primaria,444,936
Hombres,2.901,5.584,Sexto - Primaria,478,948
Mujeres,2.683,5.584,Sexto - Primaria,470,948

