TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,4.945,9.479,Primero - Primaria,909,1.738
Mujeres,4.534,9.479,Primero - Primaria,829,1.738
Hombres,4.945,9.479,Segundo - Primaria,864,1.676
Mujeres,4.534,9.479,Segundo - Primaria,812,1.676
Hombres,4.945,9.479,Tercero - Primaria,797,1.565
Mujeres,4.534,9.479,Tercero - Primaria,768,1.565
Hombres,4.945,9.479,Cuarto - Primaria,849,1.616
Mujeres,4.534,9.479,Cuarto - Primaria,767,1.616
Hombres,4.945,9.479,Quinto - Primaria,710,1.374
Mujeres,4.534,9.479,Quinto - Primaria,664,1.374
Hombres,4.945,9.479,Sexto - Primaria,816,1.510
Mujeres,4.534,9.479,Sexto - Primaria,694,1.510

